            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2454902.380909861, A.D. 2009-Mar-11 21:08:30.6120, -2.989801489648221E+09,  3.413995344810557E+09, -1.384794257479067E+09, -7.109106861770264E-01,  2.334447539252961E+00, -5.816628483528437E-01,
2455011.976765833, A.D. 2009-Jun-29 11:26:32.5680, -2.996367025170681E+09,  3.435910418008076E+09, -1.390225055820507E+09, -6.758869781010691E-01,  2.294364441753649E+00, -5.654224469917140E-01,
2455121.572621806, A.D. 2009-Oct-17 01:44:34.5240, -3.002602785850274E+09,  3.457447284555385E+09, -1.395502807709255E+09, -6.412554555883678E-01,  2.254563286940588E+00, -5.493364230457974E-01,
2455231.168477778, A.D. 2010-Feb-03 16:02:36.4800, -3.008512421915393E+09,  3.478608563072134E+09, -1.400628949270081E+09, -6.070028085870155E-01,  2.215033337259681E+00, -5.333993827039277E-01,
2455340.764333750, A.D. 2010-May-24 06:20:38.4360, -3.014099459866433E+09,  3.499396772139425E+09, -1.405604866430837E+09, -5.731162092707228E-01,  2.175764196043925E+00, -5.176061151430004E-01,
2455450.360189722, A.D. 2010-Sep-10 20:38:40.3920, -3.019367306891257E+09,  3.519814333394786E+09, -1.410431896582626E+09, -5.395832796106776E-01,  2.136745778355500E+00, -5.019515764325314E-01,
2455559.956045695, A.D. 2010-Dec-29 10:56:42.3480, -3.024319254998939E+09,  3.539863574332634E+09, -1.415111330085631E+09, -5.063920664582189E-01,  2.097968280767084E+00, -4.864308749614948E-01,
2455669.551901666, A.D. 2011-Apr-18 01:14:44.3040, -3.028958484931041E+09,  3.559546730839577E+09, -1.419644411647380E+09, -4.735310190654400E-01,  2.059422152913584E+00, -4.710392578444038E-01,
2455779.147757639, A.D. 2011-Aug-05 15:32:46.2600, -3.033288069904285E+09,  3.578865949472953E+09, -1.424032341590028E+09, -4.409889746974360E-01,  2.021098073712906E+00, -4.557721014340090E-01,
2455888.743613611, A.D. 2011-Nov-23 05:50:48.2160, -3.037310979228956E+09,  3.597823289515022E+09, -1.428276277029369E+09, -4.087551494064258E-01,  1.982986927608061E+00, -4.406249030753412E-01,
2455998.339469583, A.D. 2012-Mar-11 20:08:50.1720, -3.041030081880702E+09,  3.616420724846349E+09, -1.432377333006466E+09, -3.768191346090627E-01,  1.945079789291086E+00, -4.255932780290757E-01,
2456107.935325556, A.D. 2012-Jun-29 10:26:52.1280, -3.044448150065122E+09,  3.634660145686833E+09, -1.436336583602805E+09, -3.451709004397361E-01,  1.907367913367057E+00, -4.106729605780027E-01,
2456217.531181528, A.D. 2012-Oct-17 00:44:54.0840, -3.047567862819547E+09,  3.652543360281876E+09, -1.440155063085376E+09, -3.138007998544518E-01,  1.869842730873265E+00, -3.958598082169223E-01,
2456327.127037500, A.D. 2013-Feb-03 15:02:56.0400, -3.050391809678981E+09,  3.670072096600120E+09, -1.443833767119725E+09, -2.826995760116873E-01,  1.832495857181822E+00, -3.811498119825343E-01,
2456436.722893472, A.D. 2013-May-24 05:20:57.9960, -3.052922494379467E+09,  3.687248004136507E+09, -1.447373654084431E+09, -2.518583641969774E-01,  1.795319105658802E+00, -3.665391077315752E-01,
2456546.318749445, A.D. 2013-Sep-10 19:38:59.9520, -3.055162338548338E+09,  3.704072655893170E+09, -1.450775646503345E+09, -2.212686841301933E-01,  1.758304509830554E+00, -3.520239879812410E-01,
2456655.914605417, A.D. 2013-Dec-29 09:57:01.9080, -3.057113685267076E+09,  3.720547550568856E+09, -1.454040632571745E+09, -1.909224215552396E-01,  1.721444346804450E+00, -3.376009107520370E-01,
2456765.510461389, A.D. 2014-Apr-18 00:15:03.8640, -3.058778802371247E+09,  3.736674114965451E+09, -1.457169467732760E+09, -1.608117907529331E-01,  1.684731155757768E+00, -3.232664994973334E-01,
2456875.106317361, A.D. 2014-Aug-05 14:33:05.8200, -3.060159885341855E+09,  3.752453706516240E+09, -1.460162976208769E+09, -1.309292854331676E-01,  1.648157745659073E+00, -3.090175336643435E-01,
2456984.702173333, A.D. 2014-Nov-23 04:51:07.7760, -3.061259059679306E+09,  3.767887615793912E+09, -1.463021952380623E+09, -1.012676221127950E-01,  1.611717182527778E+00, -2.948509268800071E-01,
2457094.298029305, A.D. 2015-Mar-12 19:09:09.7320, -3.062078382752484E+09,  3.782977068825257E+09, -1.465747161927941E+09, -7.181968532015044E-02,  1.575402760262380E+00, -2.807636976876736E-01,
2457203.893885278, A.D. 2015-Jun-30 09:27:11.6880, -3.062619845183475E+09,  3.797723229036292E+09, -1.468339342667318E+09, -4.257848727277237E-02,  1.539207955021233E+00, -2.667529374700966E-01,
2457313.489741250, A.D. 2015-Oct-17 23:45:13.6440, -3.062885371927943E+09,  3.812127198736568E+09, -1.470799205099689E+09, -1.353714448898408E-02,  1.503126373183668E+00, -2.528157812663399E-01,
2457423.085597222, A.D. 2016-Feb-04 14:03:15.6000, -3.062876823242799E+09,  3.826190020129205E+09, -1.473127432727504E+09,  1.531112459206395E-02,  1.467151706130092E+00, -2.389493889779539E-01,
2457532.681453194, A.D. 2016-May-24 04:21:17.5560, -3.062595995688412E+09,  3.839912675929244E+09, -1.475324682232072E+09,  4.397298871467918E-02,  1.431277693370405E+00, -2.251509353084332E-01,
2457642.277309167, A.D. 2016-Sep-10 18:39:19.5120, -3.062044623283771E+09,  3.853296089717999E+09, -1.477391583611248E+09,  7.245498565118774E-02,  1.395498102815478E+00, -2.114176099859674E-01,
2457751.873165139, A.D. 2016-Dec-29 08:57:21.4680, -3.061224378845983E+09,  3.866341126166762E+09, -1.479328740349414E+09,  1.007635013187160E-01,  1.359806724523459E+00, -1.977466250098359E-01,
2457861.469021111, A.D. 2017-Apr-17 23:15:23.4240, -3.060136875497000E+09,  3.879048591259943E+09, -1.481136729671179E+09,  1.289047558293093E-01,  1.324197373762198E+00, -1.841352235893244E-01,
2457971.064877084, A.D. 2017-Aug-05 13:33:25.3800, -3.058783668291324E+09,  3.891419232578961E+09, -1.482816102888793E+09,  1.568847931276233E-01,  1.288663901690243E+00, -1.705806909320509E-01,
2458080.660733055, A.D. 2017-Nov-23 03:51:27.3360, -3.057166255901171E+09,  3.903453739692038E+09, -1.484367385838816E+09,  1.847094774071913E-01,  1.253200206403064E+00, -1.570803626278563E-01,
2458190.256589028, A.D. 2018-Mar-12 18:09:29.2920, -3.055286082311171E+09,  3.915152744663138E+09, -1.485791079394766E+09,  2.123844963419481E-01,  1.217800245258096E+00, -1.436316310186443E-01,
2458299.852445000, A.D. 2018-Jun-30 08:27:31.2480, -3.053144538467470E+09,  3.926516822652494E+09, -1.487087660023139E+09,  2.399153659650122E-01,  1.182458043971711E+00, -1.302319493663262E-01,
2458409.448300972, A.D. 2018-Oct-17 22:45:33.2040, -3.050742963856931E+09,  3.937546492599625E+09, -1.488257580368606E+09,  2.673074404330626E-01,  1.147167702857790E+00, -1.168788330287154E-01,
2458519.044156944, A.D. 2019-Feb-04 13:03:35.1600, -3.048082647997364E+09,  3.948242217956678E+09, -1.489301269847052E+09,  2.945659222425087E-01,  1.111923402327455E+00, -1.035698600299765E-01,
2458628.640012917, A.D. 2019-May-25 03:21:37.1160, -3.045164831812779E+09,  3.958604407446182E+09, -1.490219135226236E+09,  3.216958740102180E-01,  1.076719402651905E+00, -9.030266867602360E-02,
2458738.235868889, A.D. 2019-Sep-11 17:39:39.0720, -3.041990708902174E+09,  3.968633415822870E+09, -1.491011561187986E+09,  3.487022311602266E-01,  1.041550044016485E+00, -7.707495496053507E-02,
2458847.831724861, A.D. 2019-Dec-30 07:57:41.0280, -3.038561426688281E+09,  3.978329544614220E+09, -1.491678910856813E+09,  3.755898135511639E-01,  1.006409743784255E+00, -6.388446917214008E-02,
2458957.427580833, A.D. 2020-Apr-17 22:15:42.9840, -3.034878087443411E+09,  3.987693042829000E+09, -1.492221526289829E+09,  4.023633394508294E-01,  9.712929905834210E-01, -5.072901043718292E-02,
